Title,Year,Rating
Chicago P.D.,2014– ,8.1
MacGyver,1985–1992,7.6
Empire,2015–2020,7.4
Hanna,2019–2021,7.6
Alcatraz,2012,6.9
The A-Team,1983–1987,7.5
Jupiter's Legacy,2021,6.7
Blackadder,1982–1983,8
Everybody Hates Chris,2005–2009,7.5
Haven,2010–2015,7.5
Slow Horses,2022– ,7.9
Happy Endings,2011–2020,7.8
The Colbert Report,2005–2014,8.4
Lethal Weapon,2016–2019,7.8
F Is for Family,2015–2021,8
Raising Hope,2010–2014,8.1
The Wonder Years,1988–1993,8.4
"Ed, Edd n Eddy",1999–2008,7.5
Shooter,2016–2018,7.5
Don't Trust the B---- in Apartment 23,2012–2013,7.3
The Goldbergs,2013–2023,8
The Flintstones,1960–1966,7.5
Farscape,1999–2003,8.3
Sneaky Pete,2015–2019,8.1
Doctor Who,1963–1989,8.4
The Suite Life of Zack & Cody,2005–2008,6.6
"Scooby Doo, Where Are You!",1969–1970,7.9
Z Nation,2014–2018,6.7
Columbo,1971–2003,8.3
Colony,2016–2018,7.3
Beauty and the Beast,2012–2016,7
Johnny Bravo,1997–2004,7.2
Masters of Sex,2013–2016,7.9
9/1/2001,2018– ,7.8
According to Jim,2001–2009,6.5
Longmire,2012–2017,8.3
ALF,1986–1990,7.4
Mom,2013–2021,7.3
Another Life,2019–2021,5.3
Top of the Lake,2013–2017,7.4
Rugrats,1991–2006,7.5
The Tomorrow People,2013–2014,7.2
The Gifted,I) (2017–2019,7.2
Saved by the Bell,1989–1992,7.1
Parenthood,2010–2015,8.3
Gangs of London,2020– ,8.1
Red Dwarf,1988– ,8.4
Sugarland,2019– ,8.3
Episodes,2011–2017,7.8
Knight Rider,1982–1986,6.9
Wizards of Waverly Place,2007–2012,6.9
Legend of the Seeker,2008–2010,7.6
"Beverly Hills, 90210",1990–2000,6.5
Steven Universe,2013–2020,8.2
Last Man Standing,2011–2021,7.5
Rizzoli & Isles,2010–2016,7.6
Teenage Mutant Ninja Turtles,1987–1996,7.9
Midsomer Murders,1997– ,7.9
Star Trek: Strange New Worlds,2022– ,8.2
The Cosby Show,1984–1992,7.4
Hey Arnold!,1996–2004,7.6
The Amazing World of Gumball,2011–2019,8.3
Ally McBeal,1997–2002,6.9
Life,I) (2007–2009,8.3
The Righteous Gemstones,2019– ,8.1
The Chosen,2017– ,9.3
The Bugs Bunny Show,1960–1975,8.6
Rules of Engagement,2007–2013,7.3
Mayor of Kingstown,2021– ,8.2
Teen Titans,2003–2006,7.9
Party Down,2009– ,8.2
Superman & Lois,2021– ,7.8
Modern Love,2019–2021,7.9
Quantum Leap,1989–1993,8.2
Bored to Death,2009–2011,7.9
Derek,2012–2014,8.1
Into the Night,II) (2020– ,7.1
Legacies,2018–2022,7.3
Dark Angel,2000–2002,7.3
The Mindy Project,2012–2017,7.5
Broad City,2014–2019,8.4
The Legend of Vox Machina,2022– ,8.4
Halt and Catch Fire,2014–2017,8.4
Marcella,2016–2021,7.4
DuckTales,1987–1990,8.1
An Idiot Abroad,2010–2012,8.3
Poldark,2015–2019,8.3
The Filthy Frank Show,2011–2017,9.2
Living with Yourself,2019,7.2
Nathan for You,2013–2017,8.9
The Recruit,2022– ,7.4
Spider-Man: The Animated Series,1994–1998,8.4
Beavis and Butt-Head,1993–2011,7.5
Hacks,2021– ,8.2
Babylon 5,1993–1998,8.4
The Society,2019,7.1
QI,2003– ,8.6
Harley Quinn,2019– ,8.5
Suburgatory,2011–2014,7.2
The Boondocks,2005–2014,8.5
Strike Back,2010–2020,8.1
Lost Girl,2010–2016,7.6
Dragon Ball Super,2015–2018,8.3
Black Summer,2019–2021,6.6
I Am Groot,2022– ,6.7
American Vandal,2017–2018,8.1
Queen of the South,2016–2021,8
Tokyo Vice,2022– ,8
Pinky and the Brain,1995–1998,7.8
Anger Management,2012–2014,6.5
Cursed,2020,5.9
Life on Mars,2006–2007,8.4
Dharma & Greg,1997–2002,6.4
Lilyhammer,2012–2014,7.9
Damages,2007–2012,8.1
Keeping Up with the Kardashians,2007–2021,2.8
Hercules: The Legendary Journeys,1995–1999,6.4
The Order,2019–2020,6.7
Covert Affairs,2010–2014,7.3
Pose,2018–2021,8.6
Man vs. Bee,2022,6.7
Willow,2022–2023,5.6
Insatiable,2018–2019,6.5
The Deuce,2017–2019,8.1
Helix,2014–2015,6.7
Kyle XY,2006–2009,7.5
Roswell,1999–2002,7.5
The Good Fight,2017–2022,8.3
Dracula,2013–2014,7.3
The Exorcist,2016–2018,7.9
StartUp,2016–2018,7.8
Our Flag Means Death,2022– ,7.8
Kim Possible,2002–2007,7.2
Invasion,2021– ,6
Alphas,2011–2012,7.2
Spin City,1996–2002,7.3
Medium,2005–2011,7.1
The Fosters,2013–2018,8
And Just Like That...,2021– ,5.7
Outer Range,2022– ,7.1
Cold Case,2003–2010,7.6
Baywatch,1989–2001,5.4
Batman Beyond,1999–2001,8.1
Victoria,2016–2019,8.2
The Resident,2018– ,7.8
Counterpart,2017–2019,8
Evil,2019– ,7.7
Family Matters,1989–1998,6.6
The Carrie Diaries,2013–2014,7
SEAL Team,2017– ,7.8
My Wife and Kids,2001–2005,6.9
Las Vegas,2003–2008,7.4
Endeavour,2012–2023,8.6
Fuller House,2016–2020,6.7
Call the Midwife,2012– ,8.6
Nurse Jackie,2009–2015,7.8
Mythic Quest,2020– ,7.7
Pieces of Her,2022– ,6.3
The Missing,2014–2016,8.2
Vice Principals,2016–2018,8
Warrior,2019– ,8.4
First Kill,2022,6.5
Miami Vice,1984–1989,7.5
Top Boy,2011– ,8.4
Rise of Empires: Ottoman,2020–2022,7.9
The L Word,I) (2004–2009,7.7
Southland,2009–2013,8.5
Inhumans,2017,4.9
I Love Lucy,1951–1957,8.5
1923,2022–2023,8.5
Masters of the Universe: Revelation,2021,5.4
Private Practice,2007–2013,6.8
Star Wars: Clone Wars,2003–2005,7.8
Runaways,2017–2019,6.9
Rescue Me,2004–2011,8.3
You're the Worst,2014–2019,8.1
The Closer,2005–2012,7.8
"Magnum, P.I.",1980–1988,7.5
Harper's Island,2009,7.4
Rectify,2013–2016,8.3
The Midnight Club,2022,6.5
Chicago Med,2015– ,7.6
Inside Look: The People v. O.J. Simpson - American Crime Story,2016,8.4
Better Off Ted,2009–2010,8.2
Mike & Molly,2010–2016,6.5
Firefly Lane,2021–2023,7.4
Victorious,2010–2013,7
The Venture Bros.,2003–2018,8.6
Witches of East End,2013–2014,7.5
Future Man,2017–2020,7.7
The World at War,1973–1974,9.2
Recess,1997–2001,7.9
Jackass,2000–2007,7.3
Fresh Off the Boat,2015–2020,7.8
Nashville,2012–2018,7.7
The Event,2010–2011,7
Law & Order: Criminal Intent,2001–2011,7.5
Black Lightning,2017–2021,6.1
8 Simple Rules,2002–2005,7
Swamp Thing,2019,7.4
Being Human,2011–2014,7.5
7th Heaven,1996–2007,5.2
Solar Opposites,2020– ,8
"Murder, She Wrote",1984–1996,7.1
Daria,1997–2002,8.1
'Allo 'Allo!,1982–1992,8.4
The Mist,2017,5.4
Why Women Kill,2019–2021,8.3
Aqua Teen Hunger Force,2000–2015,7.7
Survivor,2000– ,7.5
Dear White People,2017–2021,6.3
The Gilded Age,2022– ,8
Being Human,2008–2013,7.8
House of Lies,2012–2016,7.4
The Dark Crystal: Age of Resistance,2019,8.4
S.W.A.T.,2017– ,7.1
Caprica,2009–2010,7.1
The Nevers,2021–2023,7.4
Sex/Life,2021– ,5.5
Switched at Birth,2011–2017,7.7
Homecoming,2018–2020,7.4
Tales from the Crypt,1989–1996,8
Permanent Roommates,2014–2016,8.6
From,2022– ,7.6
Zoo,2015–2017,6.6
Mozart in the Jungle,2014–2018,8.1
The Muppet Show,1976–1981,8.4
Letterkenny,2016– ,8.7
Top Gear,1978–2002,8.4
Mystery Science Theater 3000,1988– ,8.7
Tales of the Jedi,2022– ,8.2
Unforgotten,2015– ,8.3
Little Britain,2003–2006,7.7
Lois & Clark: The New Adventures of Superman,1993–1997,6.7
Away,2020,6.6
The Dragon Prince,2018– ,8.3
Greek,2007–2011,7.6
The Grim Adventures of Billy & Mandy,2001–2007,7.7
Moonlight,2007–2008,7.6
Reaper,2007–2009,7.8
Brothers & Sisters,2006–2011,7.4
Devious Maids,2013–2016,7.8
Animaniacs,1993–1998,7.9
Little House on the Prairie,1974–1983,7.5
Conan,2010–2021,8.2
Studio 60 on the Sunset Strip,2006–2007,8.3
Salem,2014–2017,7.1
Extant,2014–2015,6.5
The Thick of It,2005–2012,8.7
United States of Tara,2009–2011,8
Camelot,2011,6.5
Inside Job,2021–2022,7.7
Black-ish,2014–2022,7.3
Vinyl,2016,7.7
Mad About You,1992–2019,6.7
Madam Secretary,2014–2019,7.7
Delhi Crime,2019– ,8.5
Younger,2015–2021,7.8
Batman,1966–1968,7.5
Jersey Shore,2009–2012,3.8
Dominion,2014–2015,6.7
The Sex Lives of College Girls,2021– ,7.8
CatDog,1998–2005,6.5
The Ren & Stimpy Show,1991–1996,7.5
Wynonna Earp,2016–2021,7.3
Death in Paradise,2011– ,7.8
Dynasty,2017–2022,7.3
The Politician,2019–2020,7.5
The Librarians,2014–2018,7.2
Mr. Mercedes,2017–2019,7.8
I May Destroy You,2020,8.1
Key and Peele,2012–2015,8.3
Foster's Home for Imaginary Friends,2004–2009,7.6
Salvation,2017–2018,6.9
Mighty Morphin Power Rangers,1993–1996,6.5
Abbott Elementary,2021– ,8.2
Tyrant,2014–2016,7.7
Trapped,2015– ,8
The Wilds,2020–2022,7.3
The Mighty Boosh,2003–2007,8.4
Van Helsing,2016–2021,6.2
Big Sky,2020– ,6.8
Hustle,2004–2012,8.2
Crashing,2016,7.6
The Get Down,2016–2017,8.2
Transparent,2014–2019,7.8
A League of Their Own,2022– ,7.5
Wentworth,2013–2021,8.6
The Gift,2019–2021,7
The Adventures of Sherlock Holmes,1984–1985,8.7
Man vs. Wild,2006–2020,8.2
The Musketeers,2014–2016,7.8
That '90s Show,2023– ,6.4
Good Luck Charlie,2010–2014,7.1
Bad Sisters,2022– ,8.3
American Horror Stories,2021– ,6.2
Killjoys,2015–2019,7.2
Dirty John,2018– ,7.2
Bewitched,1964–1972,7.6
The Transformers,1984–1987,8
The Bold Type,2017–2021,7.8
Chucky,2021– ,7.3
Hung,2009–2011,7.2
"The Adventures of Jimmy Neutron, Boy Genius",2002–2006,6.7
Ben 10,2005–2008,7.4
Big Love,2006–2011,7.7
TURN: Washington's Spies,2014–2017,8.1
The Unit,2006–2009,8
Teen Titans Go!,2013– ,5.4
Frontier,2016–2018,7.1
Fortitude,2015–2018,7.3
Vigil,2021– ,7.4
The Jetsons,1962–1963,7
Poker Face,2023– ,8
Time,2021– ,8.2
Yu-Gi-Oh!,I) (2000–2006,7.3
