Title,Rating,Votes,Stars,Genres,Start_Year,End_Year
Spartacus,8.5,246041,"['Lucy Lawless', 'Manu Bennett', 'Daniel Feuerriegel']","['Action', 'Adventure', 'Biography']",2010,2013
The Handmaid's Tale,8.4,244641,"['Yvonne Strahovski', 'Ann Dowd', 'O-T Fagbenle']","['Drama', 'Sci-Fi', 'Thriller']",2017,2023
Heroes,7.5,244624,"['Hayden Panettiere', 'Milo Ventimiglia', 'Masi Oka']","['Drama', 'Fantasy', 'Sci-Fi']",2006,2010
Mad Men,8.7,244611,"['Elisabeth Moss', 'Vincent Kartheiser', 'January Jones']",['Drama'],2007,2015
The Punisher,8.5,243888,"['Amber Rose Revah', 'Ben Barnes', 'Jason R. Moore']","['Action', 'Crime', 'Drama']",2017,2019
Futurama,8.5,243295,"['John DiMaggio', 'Katey Sagal', 'Tress MacNeille']","['Animation', 'Adventure', 'Comedy']",1999,2023
Ted Lasso,8.8,237990,"['Brett Goldstein', 'Brendan Hunt', 'Nick Mohammed']","['Comedy', 'Drama', 'Sport']",2020,2023
Gotham,7.8,233480,"['Jada Pinkett Smith', 'Donal Logue', 'Camren Bicondova']","['Action', 'Crime', 'Drama']",2014,2019
It's Always Sunny in Philadelphia,8.8,231795,"['Rob McElhenney', 'Kaitlin Olson', 'Glenn Howerton']",['Comedy'],2005,2023
The X-Files,8.6,231682,"['Gillian Anderson', 'Mitch Pileggi', 'William B. Davis']","['Crime', 'Drama', 'Mystery']",1993,2018
New Girl,7.8,230690,"['Jake Johnson', 'Max Greenfield', 'Hannah Simone']","['Comedy', 'Romance']",2011,2018
Doctor Who,8.6,229709,"['Peter Capaldi', 'Pearl Mackie', 'Matt Smith']","['Adventure', 'Drama', 'Sci-Fi']",2005,2023
Once Upon a Time,7.7,228057,"['Jennifer Morrison', 'Lana Parrilla', 'Robert Carlyle']","['Adventure', 'Fantasy', 'Romance']",2011,2018
The Crown,8.6,227431,"['Olivia Colman', 'Imelda Staunton', 'Matt Smith']","['Biography', 'Drama', 'History']",2016,2023
