Title,Rating,Votes,Stars,Genres,Start_Year,End_Year
Spider-Man: The Animated Series,8.4,32719,"['Sara Ballantine', 'Edward Asner', 'Roscoe Lee Browne']","['Animation', 'Action', 'Adventure']",1994,1998
Beavis and Butt-Head,7.5,32698,"['Kristofor Brown', 'Dale Revo', 'Tracy Grandstaff']","['Animation', 'Comedy', 'Music']",1993,2011
Hacks,8.2,32646,"['Hannah Einbinder', 'Carl Clemons-Hopkins', 'Mark Indelicato']","['Comedy', 'Drama']",2021,2023
Babylon 5,8.4,32559,"['Richard Biggs', 'Stephen Furst', 'Andreas Katsulas']","['Action', 'Adventure', 'Drama']",1993,1998
The Society,7.1,32497,"['Gideon Adlon', 'Sean Berdy', 'Natasha Liu Bordizzo']","['Drama', 'Mystery', 'Sci-Fi']",2019,2023
Harley Quinn,8.5,32463,"['Lake Bell', 'Alan Tudyk', 'Ron Funches']","['Animation', 'Action', 'Adventure']",2019,2023
QI,8.6,32461,"['Stephen Fry', 'Sandi Toksvig', 'Bill Bailey']","['Comedy', 'Game-Show']",2003,2023
Suburgatory,7.2,32445,"['Jane Levy', 'Carly Chaikin', 'Allie Grant']",['Comedy'],2011,2014
The Boondocks,8.5,32326,"['John Witherspoon', 'Gary Anthony Williams', 'Cedric Yarbrough']","['Animation', 'Action', 'Comedy']",2005,2014
Strike Back,8.1,32298,"['Sullivan Stapleton', 'Michelle Lukes', 'Daniel MacPherson']","['Action', 'Drama', 'Thriller']",2010,2020
Lost Girl,7.6,31759,"['Kris Holden-Ried', 'Zoie Palmer', 'Rick Howland']","['Action', 'Drama', 'Fantasy']",2010,2016
Dragon Ball Super,8.3,31688,"['Naoki Tatsuta', 'Ryô Horikawa', 'Sean Schemmel']","['Animation', 'Action', 'Adventure']",2015,2018
I Am Groot,6.7,31681,"['Fred Tatasciore', 'Kaitlyn Robrock', 'Terri Douglas']","['Animation', 'Short', 'Action']",2022,2023
Black Summer,6.6,31659,"['Justin Chu Cary', 'Christine Lee', 'Zoe Marlett']","['Action', 'Drama', 'Horror']",2019,2021
American Vandal,8.1,31635,"['Griffin Gluck', 'Jimmy Tatro', 'Travis Tope']","['Comedy', 'Crime', 'Drama']",2017,2018
Queen of the South,8.0,31493,"['Hemky Madera', 'Peter Gadiot', 'Veronica Falcón']","['Action', 'Crime', 'Drama']",2016,2021
Tokyo Vice,8.0,31334,"['Ken Watanabe', 'Rachel Keller', 'Shô Kasamatsu']","['Crime', 'Drama', 'Thriller']",2022,2023
Pinky and the Brain,7.8,31279,"['Rob Paulsen', 'Tress MacNeille', 'Frank Welker']","['Animation', 'Adventure', 'Comedy']",1995,1998
Anger Management,6.5,31266,"['Shawnee Smith', 'Noureen DeWulf', 'Michael Arden']","['Comedy', 'Romance']",2012,2014
Cursed,5.9,31257,"['Devon Terrell', 'Gustaf Skarsgård', 'Daniel Sharman']","['Adventure', 'Drama', 'Fantasy']",2020,2023
Life on Mars,8.4,31152,"['Philip Glenister', 'Liz White', 'Dean Andrews']","['Crime', 'Drama', 'Mystery']",2006,2007
Dharma & Greg,6.4,31113,"['Thomas Gibson', 'Joel Murray', 'Mimi Kennedy']","['Comedy', 'Romance']",1997,2002
Lilyhammer,7.9,30761,"['Trond Fausa', 'Steinar Sagen', 'Marian Saastad Ottesen']","['Comedy', 'Crime', 'Drama']",2012,2014
Damages,8.1,30644,"['Rose Byrne', 'Tate Donovan', 'Zachary Booth']","['Crime', 'Drama', 'Mystery']",2007,2012
Keeping Up with the Kardashians,2.8,30584,"['Kim Kardashian', 'Kourtney Kardashian', 'Kris Jenner']","['Family', 'Reality-TV']",2007,2021
Hercules: The Legendary Journeys,6.4,30522,"['Michael Hurst', 'Kevin Smith', 'Robert Trebor']","['Action', 'Adventure', 'Drama']",1995,1999
The Order,6.7,30511,"['Sarah Grey', 'Adam DiMarco', 'Louriza Tronco']","['Drama', 'Fantasy', 'Horror']",2019,2020
Covert Affairs,7.3,30386,"['Christopher Gorham', 'Kari Matchett', 'Peter Gallagher']","['Action', 'Crime', 'Drama']",2010,2014
Pose,8.6,30298,"['Dominique Jackson', 'Indya Moore', 'Angel Bismark Curiel']",['Drama'],2018,2021
Willow,5.6,30090,"['Ellie Bamber', 'Tony Revolori', 'Erin Kellyman']","['Action', 'Adventure', 'Drama']",2022,2023
Man vs. Bee,6.7,30078,"['Claudie Blakley', 'Jing Lusi', 'Julian Rhind-Tutt']","['Short', 'Comedy', 'Family']",2022,2023
Insatiable,6.5,30037,"['Debby Ryan', 'Christopher Gorham', 'Kimmy Shields']","['Comedy', 'Drama', 'Thriller']",2018,2019
The Deuce,8.1,29993,"['Maggie Gyllenhaal', 'Lawrence Gilliard Jr.', 'Margarita Levieva']",['Drama'],2017,2019
Helix,6.7,29979,"['Kyra Zagorsky', 'Mark Ghanimé', 'Jordan Hayes']","['Drama', 'Horror', 'Mystery']",2014,2015
Kyle XY,7.5,29862,"['Marguerite MacIntyre', 'Bruce Thomas', 'April Matson']","['Drama', 'Mystery', 'Romance']",2006,2009
Roswell,7.5,29803,"['Jason Behr', 'Katherine Heigl', 'Majandra Delfino']","['Drama', 'Mystery', 'Romance']",1999,2002
The Good Fight,8.3,29756,"['Sarah Steele', 'Nyambi Nyambi', 'Michael Boatman']","['Crime', 'Drama']",2017,2022
Dracula,7.3,29640,"['Jessica De Gouw', 'Thomas Kretschmann', 'Victoria Smurfit']","['Drama', 'Horror', 'Romance']",2013,2014
The Exorcist,7.9,29511,"['Ben Daniels', 'Kurt Egyiawan', 'Hannah Kasulka']","['Drama', 'Horror', 'Mystery']",2016,2018
StartUp,7.8,29489,"['Edi Gathegi', 'Otmara Marrero', 'Kristen Ariza']","['Crime', 'Thriller']",2016,2018
Our Flag Means Death,7.8,29453,"['Joel Fry', 'Samson Kayo', 'Nathan Foad']","['Action', 'Adventure', 'Biography']",2022,2023
Kim Possible,7.2,29406,"['Will Friedle', 'Nancy Cartwright', 'Tahj Mowry']","['Animation', 'Action', 'Adventure']",2002,2007
Invasion,6.0,29398,"['Shamier Anderson', 'Shioli Kutsuna', 'Firas Nassar']","['Drama', 'Fantasy', 'Sci-Fi']",2021,2023
Alphas,7.2,29346,"['Ryan Cartwright', 'Warren Christie', 'Azita Ghanizada']","['Action', 'Drama', 'Sci-Fi']",2011,2012
Spin City,7.3,29281,"['Charlie Sheen', 'Heather Locklear', 'Richard Kind']",['Comedy'],1996,2002
Medium,7.1,29186,"['Miguel Sandoval', 'Jake Weber', 'Sofia Vassilieva']","['Crime', 'Drama', 'Fantasy']",2005,2011
The Fosters,8.0,28966,"['Sherri Saum', 'Hayden Byerly', 'David Lambert']","['Drama', 'Romance']",2013,2018
And Just Like That...,5.7,28885,"['Cynthia Nixon', 'Kristin Davis', 'Sara Ramirez']","['Comedy', 'Drama', 'Romance']",2021,2023
Outer Range,7.1,28869,"['Imogen Poots', 'Lili Taylor', 'Tom Pelphrey']","['Drama', 'Mystery', 'Thriller']",2022,2023
Cold Case,7.6,28849,"['Danny Pino', 'John Finn', 'Jeremy Ratchford']","['Crime', 'Drama', 'Mystery']",2003,2010
Baywatch,5.4,28681,"['Pamela Anderson', 'Yasmine Bleeth', 'Jeremy Jackson']","['Action', 'Adventure', 'Crime']",1989,2001
Batman Beyond,8.1,28600,"['Kevin Conroy', 'Lauren Tom', 'Cree Summer']","['Animation', 'Action', 'Adventure']",1999,2001
Victoria,8.2,28595,"['Adrian Schiller', 'Tommy Knight', 'Jordan Waller']","['Biography', 'Drama', 'History']",2016,2019
The Resident,7.8,28573,"['Manish Dayal', 'Bruce Greenwood', 'Malcolm-Jamal Warner']",['Drama'],2018,2023
Counterpart,8.0,28548,"['Olivia Williams', 'Harry Lloyd', 'Nazanin Boniadi']","['Drama', 'Sci-Fi', 'Thriller']",2017,2019
Evil,7.7,28526,"['Mike Colter', 'Aasif Mandvi', 'Michael Emerson']","['Crime', 'Drama', 'Horror']",2019,2023
Family Matters,6.6,28474,"['Jaleel White', 'Kellie Shanygne Williams', 'Darius McCrary']","['Adventure', 'Comedy', 'Drama']",1989,1998
SEAL Team,7.8,28394,"['Neil Brown Jr.', 'A.J. Buckley', 'Toni Trucks']","['Action', 'Drama', 'War']",2017,2023
The Carrie Diaries,7.0,28376,"['Austin Butler', 'Ellen Wong', 'Katie Findlay']","['Comedy', 'Drama', 'Romance']",2013,2014
Endeavour,8.6,28364,"['Roger Allam', 'James Bradshaw', 'Sean Rigby']","['Crime', 'Drama', 'Mystery']",2012,2023
My Wife and Kids,6.9,28363,"['Tisha Campbell', 'George Gore II', 'Parker McKenna Posey']","['Comedy', 'Family']",2001,2005
Las Vegas,7.4,28308,"['James Caan', 'James Lesure', 'Vanessa Marcil']","['Crime', 'Drama']",2003,2008
Fuller House,6.7,28233,"['Jodie Sweetin', 'Fox Messitt', 'Andrea Barber']","['Comedy', 'Family']",2016,2020
Call the Midwife,8.6,28229,"['Laura Main', 'Jenny Agutter', 'Stephen McGann']","['Drama', 'History']",2012,2023
Nurse Jackie,7.8,28081,"['Merritt Wever', 'Paul Schulze', 'Dominic Fumusa']","['Comedy', 'Drama']",2009,2015
Mythic Quest,7.7,28078,"['Charlotte Nicdao', 'Ashly Burch', 'Jessie Ennis']",['Comedy'],2020,2023
Pieces of Her,6.3,28040,"['Bella Heathcote', 'Jessica Barden', 'Joe Dempsie']","['Crime', 'Drama', 'Mystery']",2022,2023
The Missing,8.2,28022,"['Anastasia Hille', 'James Nesbitt', ""Frances O'Connor""]","['Crime', 'Drama', 'Mystery']",2014,2016
Vice Principals,8.0,27915,"['Walton Goggins', 'Sheaun McKinney', 'Georgia King']",['Comedy'],2016,2018
Warrior,8.4,27813,"['Olivia Cheng', 'Jason Tobin', 'Dianne Doan']","['Action', 'Crime', 'Drama']",2019,2023
First Kill,6.5,27769,"['Imani Lewis', 'Elizabeth Mitchell', 'Aubin Wise']","['Drama', 'Horror', 'Mystery']",2022,2023
1923,8.4,27761,"['Helen Mirren', 'Brandon Sklenar', 'Julia Schlaepfer']","['Drama', 'Western']",2022,2023
Miami Vice,7.5,27683,"['Philip Michael Thomas', 'Saundra Santiago', 'Olivia Brown']","['Action', 'Crime', 'Drama']",1984,1989
Top Boy,8.4,27646,"['Kano', 'Micheal Ward', 'Jasmine Jobson']","['Crime', 'Drama', 'Thriller']",2011,2023
Rise of Empires: Ottoman,7.9,27619,"['Tuba Büyüküstün', 'Alp Ilkman', 'Ushan Çakir']","['Documentary', 'Drama', 'History']",2020,2022
The L Word,7.7,27567,"['Leisha Hailey', 'Laurel Holloman', 'Mia Kirshner']","['Drama', 'Romance']",2004,2009
Southland,8.5,27510,"['Shawn Hatosy', 'Regina King', 'Ben McKenzie']","['Crime', 'Drama', 'Thriller']",2009,2013
Inhumans,4.9,27509,"['Serinda Swan', 'Ken Leung', 'Eme Ikwuakor']","['Action', 'Adventure', 'Sci-Fi']",2017,2023
I Love Lucy,8.5,27404,"['Desi Arnaz', 'Vivian Vance', 'William Frawley']","['Comedy', 'Family']",1951,1957
Masters of the Universe: Revelation,5.4,27296,"['Lena Headey', 'Mark Hamill', 'Tiffany Smith']","['Animation', 'Action', 'Adventure']",2021,2023
Private Practice,6.8,27258,"['Paul Adelstein', 'KaDee Strickland', 'Taye Diggs']","['Comedy', 'Drama', 'Romance']",2007,2013
Star Wars: Clone Wars,7.8,27161,"['James Arnold Taylor', 'André Sogliuzzo', 'Grey Griffin']","['Animation', 'Action', 'Adventure']",2003,2005
Runaways,6.9,27128,"['Lyrica Okano', 'Virginia Gardner', 'Ariela Barer']","['Action', 'Drama', 'Sci-Fi']",2017,2019
Rescue Me,8.3,26978,"['Michael Lombardi', 'Steven Pasquale', 'Andrea Roth']","['Comedy', 'Drama']",2004,2011
You're the Worst,8.1,26951,"['Aya Cash', 'Desmin Borges', 'Kether Donohue']","['Comedy', 'Drama', 'Romance']",2014,2019
The Closer,7.8,26920,"['J.K. Simmons', 'Corey Reynolds', 'Robert Gossett']","['Crime', 'Drama', 'Mystery']",2005,2012
"Magnum, P.I.",7.5,26885,"['John Hillerman', 'Roger E. Mosley', 'Larry Manetti']","['Action', 'Adventure', 'Crime']",1980,1988
Harper's Island,7.4,26838,"['Christopher Gorham', 'Matt Barr', 'Gina Holden']","['Drama', 'Horror', 'Mystery']",2009,2023
The Midnight Club,6.5,26773,"['Igby Rigney', 'Sadoc Vazkez', 'Ruth Codd']","['Drama', 'Horror', 'Mystery']",2022,2023
Rectify,8.3,26772,"['Abigail Spencer', 'J. Smith-Cameron', 'Adelaide Clemens']",['Drama'],2013,2016
Chicago Med,7.6,26733,"['Marlyne Barrett', 'S. Epatha Merkerson', 'Oliver Platt']",['Drama'],2015,2023
Inside Look: The People v. O.J. Simpson - American Crime Story,8.4,26661,"['Sterling K. Brown', 'Nina Jacobson', 'Brad Simpson']","['Documentary', 'Short']",2016,2023
Better Off Ted,8.2,26615,"['Portia de Rossi', 'Andrea Anders', 'Jonathan Slavin']","['Comedy', 'Sci-Fi']",2009,2010
Mike & Molly,6.5,26614,"['Melissa McCarthy', 'Reno Wilson', 'Katy Mixon']","['Comedy', 'Romance']",2010,2016
Firefly Lane,7.4,26598,"['Sarah Chalke', 'Ben Lawson', 'Ali Skovbye']","['Drama', 'Romance']",2021,2023
Victorious,7.0,26584,"['Leon Thomas III', 'Matt Bennett', 'Elizabeth Gillies']","['Comedy', 'Drama', 'Family']",2010,2013
The Venture Bros.,8.6,26564,"['James Urbaniak', 'Doc Hammer', 'Michael Sinterniklaas']","['Animation', 'Action', 'Adventure']",2003,2018
Witches of East End,7.5,26553,"['Jenna Dewan', 'Rachel Boston', 'Mädchen Amick']","['Drama', 'Fantasy', 'Horror']",2013,2014
Future Man,7.7,26541,"['Eliza Coupe', 'Derek Wilson', 'Haley Joel Osment']","['Action', 'Adventure', 'Comedy']",2017,2020
The World at War,9.2,26532,"['Averell Harriman', 'Albert Speer', 'Anthony Eden']","['Documentary', 'History', 'War']",1973,1974
Recess,7.9,26408,"['Ashley Johnson', 'Jason Davis', ""Rickey D'Shon Collins""]","['Animation', 'Adventure', 'Comedy']",1997,2001
Jackass,7.3,26404,"['Bam Margera', 'Chris Pontius', 'Dave England']","['Action', 'Comedy', 'Reality-TV']",2000,2007
Fresh Off the Boat,7.8,26369,"['Constance Wu', 'Hudson Yang', 'Forrest Wheeler']",['Comedy'],2015,2020
Nashville,7.7,26346,"['Clare Bowen', 'Charles Esten', 'Jonathan Jackson']","['Drama', 'Music', 'Romance']",2012,2018
The Event,7.0,26327,"['Sarah Roemer', 'Ian Anthony Dale', 'Zeljko Ivanek']","['Crime', 'Drama', 'Mystery']",2010,2011
Law & Order: Criminal Intent,7.5,26302,"[""Vincent D'Onofrio"", 'Jamey Sheridan', 'Courtney B. Vance']","['Crime', 'Drama', 'Mystery']",2001,2011
Black Lightning,6.1,26156,"['Nafessa Williams', 'Christine Adams', 'Marvin Jones III']","['Action', 'Drama', 'Sci-Fi']",2017,2021
8 Simple Rules,7.0,26130,"['Kaley Cuoco', 'Amy Davidson', 'Martin Spanjers']","['Comedy', 'Drama']",2002,2005
Swamp Thing,7.4,26105,"['Virginia Madsen', 'Andy Bean', 'Derek Mears']","['Action', 'Adventure', 'Drama']",2019,2023
Being Human,7.5,26093,"['Meaghan Rath', 'Sam Huntington', 'Kristen Hager']","['Drama', 'Fantasy', 'Horror']",2011,2014
Solar Opposites,8.0,26090,"['Sean Giambrone', 'Mary Mack', 'Sagan McMahan']","['Animation', 'Comedy', 'Sci-Fi']",2020,2023
7th Heaven,5.2,26078,"['Catherine Hicks', 'Jessica Biel', 'Beverley Mitchell']","['Comedy', 'Drama', 'Family']",1996,2007
"Murder, She Wrote",7.1,25995,"['William Windom', 'Ron Masak', 'Louis Herthum']","['Crime', 'Drama', 'Mystery']",1984,1996
Daria,8.1,25948,"['Wendy Hoopes', 'Julian Rebolledo', 'John Lynn']","['Animation', 'Comedy', 'Drama']",1997,2002
'Allo 'Allo!,8.4,25943,"['Carmen Silvera', 'Vicki Michelle', 'Richard Marner']","['Comedy', 'History', 'War']",1982,1992
The Mist,5.4,25923,"['Alyssa Sutherland', 'Gus Birney', 'Danica Curcic']","['Drama', 'Horror', 'Mystery']",2017,2023
Why Women Kill,8.3,25863,"['Lucy Liu', 'Allison Tolman', 'Ginnifer Goodwin']","['Comedy', 'Crime', 'Drama']",2019,2021
Aqua Teen Hunger Force,7.7,25811,"['Carey Means', 'Dana Snyder', 'Matt Maiellaro']","['Animation', 'Comedy']",2000,2015
Survivor,7.5,25802,"['Lillian Morris', 'Jon Dalton', 'Rob Mariano']","['Adventure', 'Game-Show', 'Reality-TV']",2000,2023
Dear White People,6.3,25783,"['Brandon P Bell', 'DeRon Horton', 'Antoinette Robertson']","['Comedy', 'Drama']",2017,2021
The Gilded Age,8.0,25780,"['Celia Keenan-Bolger', 'Debra Monk', ""Kelli O'Hara""]",['Drama'],2022,2023
Being Human,7.8,25747,"['Russell Tovey', 'Aidan Turner', 'Sinéad Keenan']","['Comedy', 'Drama', 'Fantasy']",2008,2013
House of Lies,7.4,25732,"['Kristen Bell', 'Ben Schwartz', 'Josh Lawson']","['Comedy', 'Drama']",2012,2016
The Dark Crystal: Age of Resistance,8.4,25667,"['Beccy Henderson', 'Nathalie Emmanuel', 'Taron Egerton']","['Animation', 'Adventure', 'Family']",2019,2023
S.W.A.T.,7.1,25640,"['Jay Harrington', 'Alex Russell', 'Kenny Johnson']","['Action', 'Adventure', 'Crime']",2017,2023
Caprica,7.1,25615,"['Esai Morales', 'Paula Malcomson', 'Alessandra Torresani']","['Action', 'Drama', 'Sci-Fi']",2009,2010
Sex/Life,5.5,25608,"['Mike Vogel', 'Adam Demos', 'Margaret Odette']","['Comedy', 'Drama', 'Romance']",2021,2023
The Nevers,7.4,25594,"['Ann Skelly', 'Olivia Williams', 'James Norton']","['Action', 'Drama', 'Fantasy']",2021,2023
Switched at Birth,7.7,25453,"['Vanessa Marano', 'Constance Marie', 'D.W. Moffett']","['Drama', 'Family', 'Romance']",2011,2017
Homecoming,7.4,25422,"['Bobby Cannavale', 'Hong Chau', 'Alex Karpovsky']","['Drama', 'Mystery', 'Thriller']",2018,2020
From,7.6,25359,"['Harold Perrineau', 'Catalina Sandino Moreno', 'Eion Bailey']","['Drama', 'Horror', 'Mystery']",2022,2023
Tales from the Crypt,8.0,25333,"['Roy Brocksmith', 'Miguel Ferrer', 'Cam Clarke']","['Comedy', 'Crime', 'Fantasy']",1989,1996
Permanent Roommates,8.6,25317,"['Nidhi Singh', 'Deepak Kumar Mishra', 'Shishir Sharma']","['Comedy', 'Romance']",2014,2016
Zoo,6.6,25264,"['Kristen Connolly', 'Nonso Anozie', 'Billy Burke']","['Drama', 'Mystery', 'Sci-Fi']",2015,2017
Mozart in the Jungle,8.1,25222,"['Lola Kirke', 'Saffron Burrows', 'Hannah Dunne']","['Comedy', 'Drama', 'Music']",2014,2018
The Muppet Show,8.4,25173,"['Frank Oz', 'Richard Hunt', 'Dave Goelz']","['Comedy', 'Family', 'Music']",1976,1981
Letterkenny,8.7,25100,"['Nathan Dales', 'Michelle Mylett', 'K. Trevor Wilson']",['Comedy'],2016,2023
Tales of the Jedi,8.2,25081,"['Ashley Eckstein', 'Dee Bradley Baker', 'Ian McDiarmid']","['Animation', 'Short', 'Action']",2022,2023
Unforgotten,8.3,25039,"['Jordan Long', 'Nicola Walker', 'Lewis Reeves']","['Crime', 'Drama', 'Mystery']",2015,2023
Top Gear,8.4,25030,"['Jeremy Clarkson', 'Quentin Willson', 'William Woollard']",['Documentary'],1978,2002
Mystery Science Theater 3000,8.7,25017,"['Michael J. Nelson', 'Trace Beaulieu', 'Kevin Murphy']","['Comedy', 'Sci-Fi']",1988,1999
Lois & Clark: The New Adventures of Superman,6.7,24947,"['Teri Hatcher', 'Lane Smith', 'K Callan']","['Adventure', 'Comedy', 'Drama']",1993,1997
Little Britain,7.7,24938,"['David Walliams', 'Tom Baker', 'Paul Putner']",['Comedy'],2003,2006
Away,6.6,24700,"['Josh Charles', 'Vivian Wu', 'Ray Panthaki']","['Drama', 'Romance', 'Sci-Fi']",2020,2023
The Dragon Prince,8.3,24685,"['Jack De Sena', 'Sasha Rojen', 'Jason Simpson']","['Animation', 'Action', 'Adventure']",2018,2023
Greek,7.6,24683,"['Scott Michael Foster', 'Spencer Grammer', 'Paul James']","['Comedy', 'Drama', 'Family']",2007,2023
The Grim Adventures of Billy & Mandy,7.7,24661,"['Richard Steven Horvitz', 'Grey Griffin', 'Vanessa Marshall']","['Animation', 'Adventure', 'Comedy']",2001,2007
Moonlight,7.6,24640,"['Sophia Myles', 'Jason Dohring', 'Shannyn Sossamon']","['Drama', 'Fantasy', 'Horror']",2007,2008
Reaper,7.8,24588,"['Tyler Labine', 'Rick Gonzalez', 'Missy Peregrym']","['Adventure', 'Comedy', 'Drama']",2007,2009
Brothers & Sisters,7.4,24536,"['Calista Flockhart', 'Rachel Griffiths', 'Ron Rifkin']",['Drama'],2006,2011
Animaniacs,7.9,24517,"['Jess Harnell', 'Tress MacNeille', 'Frank Welker']","['Animation', 'Short', 'Adventure']",1993,1998
Devious Maids,7.8,24516,"['Dania Ramirez', 'Roselyn Sanchez', 'Judy Reyes']","['Comedy', 'Drama', 'Mystery']",2013,2016
Little House on the Prairie,7.5,24501,"['Michael Landon', 'Karen Grassle', 'Rachel Lindsay Greenbush']","['Drama', 'Family', 'Romance']",1974,1983
Conan,8.2,24499,"['Andy Richter', 'Jimmy Vivino and the Basic Cable Band', 'Jimmy Vivino']","['Comedy', 'Music', 'Talk-Show']",2010,2021
Studio 60 on the Sunset Strip,8.3,24486,"['Amanda Peet', 'Bradley Whitford', 'Steven Weber']","['Comedy', 'Drama']",2006,2007
Salem,7.1,24454,"['Shane West', 'Seth Gabel', 'Tamzin Merchant']","['Drama', 'Fantasy', 'Horror']",2014,2017
Extant,6.5,24415,"['Pierce Gagnon', 'Grace Gummer', 'Tyler Hilton']","['Drama', 'Sci-Fi', 'Thriller']",2014,2015
The Thick of It,8.7,24352,"['James Smith', 'Peter Capaldi', 'Joanna Scanlan']",['Comedy'],2005,2012
United States of Tara,8.0,24344,"['John Corbett', 'Rosemarie DeWitt', 'Keir Gilchrist']","['Comedy', 'Drama', 'Romance']",2009,2011
Inside Job,7.7,24258,"['Christian Slater', 'Clark Duke', 'Tisha Campbell']","['Animation', 'Comedy', 'Fantasy']",2021,2022
Camelot,6.5,24250,"['Jamie Campbell Bower', 'Tamsin Egerton', 'Peter Mooney']","['Drama', 'Fantasy']",2011,2023
Black-ish,7.3,24199,"['Tracee Ellis Ross', 'Marcus Scribner', 'Miles Brown']",['Comedy'],2014,2022
Vinyl,7.7,24139,"['Paul Ben-Victor', 'P.J. Byrne', 'Max Casella']","['Drama', 'Music']",2016,2023
Mad About You,6.7,24108,"['Helen Hunt', 'John Pankow', 'Leila Kenzle']","['Comedy', 'Romance']",1992,2019
Madam Secretary,7.7,24078,"['Tim Daly', 'Erich Bergen', 'Zeljko Ivanek']","['Drama', 'Thriller']",2014,2019
Delhi Crime,8.5,24044,"['Shefali Shah', 'Rajesh Tailang', 'Anurag Arora']","['Crime', 'Drama']",2019,2023
Younger,7.8,24038,"['Hilary Duff', 'Debi Mazar', 'Nico Tortorella']","['Comedy', 'Romance']",2015,2021
Batman,7.5,23980,"['Burt Ward', 'Alan Napier', 'Neil Hamilton']","['Action', 'Adventure', 'Comedy']",1966,1968
Jersey Shore,3.8,23953,"[""Sammi 'Sweetheart' Giancola"", 'Nicole Polizzi', ""Mike 'The Situation' Sorrentino""]","['Comedy', 'Reality-TV', 'Romance']",2009,2012
Dominion,6.7,23912,"['Tom Wisdom', 'Roxanne McKee', 'Luke Allen-Gale']","['Action', 'Drama', 'Fantasy']",2014,2015
The Sex Lives of College Girls,7.8,23870,"['Amrit Kaur', 'Reneé Rapp', 'Alyah Chanelle Scott']",['Comedy'],2021,2023
CatDog,6.5,23830,"['Tom Kenny', 'Carlos Alazraqui', 'Billy West']","['Animation', 'Adventure', 'Comedy']",1998,2005
The Ren & Stimpy Show,7.5,23682,"['Billy West', 'Harris Peet', 'Bob Camp']","['Animation', 'Adventure', 'Comedy']",1991,1996
Wynonna Earp,7.3,23585,"['Tim Rozon', 'Dominique Provost-Chalkley', 'Katherine Barrell']","['Action', 'Drama', 'Fantasy']",2016,2021
Death in Paradise,7.8,23519,"['Don Warrington', 'Danny John-Jules', 'Tobi Bakare']","['Comedy', 'Crime', 'Drama']",2011,2023
Dynasty,7.3,23465,"['Rafael de la Fuente', 'Robert Christopher Riley', 'Sam Adegoke']",['Drama'],2017,2022
The Politician,7.5,23416,"['Zoey Deutch', 'Lucy Boynton', 'Julia Schlaepfer']","['Comedy', 'Drama']",2019,2020
The Librarians,7.2,23353,"['Christian Kane', 'Lindy Booth', 'John Harlan Kim']","['Action', 'Adventure', 'Comedy']",2014,2018
Mr. Mercedes,7.8,23344,"['Holland Taylor', 'Jharrel Jerome', 'Breeda Wool']","['Crime', 'Drama', 'Mystery']",2017,2019
I May Destroy You,8.1,23339,"['Weruche Opia', 'Paapa Essiedu', 'Stephen Wight']",['Drama'],2020,2023
Key and Peele,8.3,23297,"['Jordan Peele', 'Metta World Peace', 'Brendan Hunt']","['Action', 'Adventure', 'Comedy']",2012,2015
Foster's Home for Imaginary Friends,7.6,23232,"['Grey Griffin', 'Candi Milo', 'Tom Kenny']","['Animation', 'Adventure', 'Comedy']",2004,2009
Abbott Elementary,8.2,23228,"['Tyler James Williams', 'Janelle James', 'Lisa Ann Walter']",['Comedy'],2021,2023
Salvation,6.9,23201,"['Jennifer Finnigan', 'Charlie Rowe', 'Jacqueline Byers']","['Drama', 'Sci-Fi', 'Thriller']",2017,2018
Mighty Morphin Power Rangers,6.5,23166,"['David Yost', 'Ed Neil', 'Paul Schrier']","['Action', 'Adventure', 'Family']",1993,1996
Tyrant,7.7,23121,"['Jennifer Finnigan', 'Ashraf Barhom', 'Moran Atias']","['Action', 'Drama', 'Thriller']",2014,2016
Trapped,8.0,23096,"['Ilmur Kristjánsdóttir', 'Björn Hlynur Haraldsson', 'Guðjón Pedersen']","['Crime', 'Drama', 'Mystery']",2015,2023
The Wilds,7.3,23045,"['Sophia Ali', 'Shannon Berry', 'Jenna Clause']","['Adventure', 'Drama', 'Mystery']",2020,2022
The Mighty Boosh,8.4,23031,"['Noel Fielding', 'Michael Fielding', 'Rich Fulcher']","['Comedy', 'Fantasy', 'Musical']",2003,2007
Big Sky,6.8,23024,"['Kylie Bunbury', 'Dedee Pfeiffer', 'J. Anthony Pena']","['Crime', 'Drama', 'Mystery']",2020,2023
Van Helsing,6.2,23018,"['Jonathan Scarfe', 'Aleks Paunovic', 'Rukiya Bernard']","['Action', 'Drama', 'Fantasy']",2016,2021
Crashing,7.6,23002,"['Jonathan Bailey', 'Julie Dray', 'Louise Ford']",['Comedy'],2016,2023
Hustle,8.2,23000,"['Robert Vaughn', 'Rob Jarvis', 'Adrian Lester']","['Crime', 'Drama', 'Mystery']",2004,2012
The Get Down,8.2,22970,"['Shameik Moore', 'Herizen F. Guardiola', 'Skylan Brooks']","['Drama', 'Music', 'Musical']",2016,2017
A League of Their Own,7.5,22966,"['Chanté Adams', ""D'Arcy Carden"", 'Gbemisola Ikumelo']","['Comedy', 'Drama', 'Sport']",2022,2023
Transparent,7.8,22964,"['Amy Landecker', 'Gaby Hoffmann', 'Jay Duplass']","['Comedy', 'Drama']",2014,2019
Wentworth,8.6,22935,"['Katrina Milosevic', 'Robbie Magasiva', 'Jacquie Brennan']","['Crime', 'Drama', 'Thriller']",2013,2021
