Title,Year,Rating,Director,Stars,Votes,Gross
A Christmas Story,1983,7.9,Bob Clark,"['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin', 'Scott Schwartz']",160405,20610000
Shoplifters,2018,7.9,Kore-eda Hirokazu,"['Lily Franky', 'Sakura Ando', 'Kirin Kiki', 'Mayu Matsuoka']",79542,3310000
Patton,1970,7.9,Franklin J. Schaffner,"['George C. Scott', 'Karl Malden', 'Stephen Young', 'Michael Strong']",104111,61700000
Dancer in the Dark,2000,7.9,Lars von Trier,"['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare']",112119,4180000
The Big Sleep,1946,7.9,Howard Hawks,"['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely', 'Martha Vickers']",87405,6540000
Harold and Maude,1971,7.9,Hal Ashby,"['Ruth Gordon', 'Bud Cort', 'Vivian Pickles', 'Cyril Cusack']",79044,79044
Togo,2019,7.9,Ericson Core,"['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']",51120,51120
The Lion in Winter,1968,7.9,Anthony Harvey,"[""Peter O'Toole"", 'Katharine Hepburn', 'Anthony Hopkins', 'John Castle']",32312,22280000
Cat on a Hot Tin Roof,1958,7.9,Richard Brooks,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives', 'Jack Carson']",50868,17570000
Amour,2012,7.9,Michael Haneke,"['Jean-Louis Trintignant', 'Emmanuelle Riva', 'Isabelle Huppert', 'Alexandre Tharaud']",102256,6740000
Harvey,1950,7.9,Henry Koster,"['James Stewart', 'Wallace Ford', 'William H. Lynn', 'Victoria Horne']",56542,56542
The Adventures of Robin Hood,1938,7.9,Michael Curtiz,"['William Keighley', 'Errol Flynn', 'Olivia de Havilland', 'Basil Rathbone', 'Claude Rains']",52373,3980000
Rope,1948,7.9,Alfred Hitchcock,"['James Stewart', 'John Dall', 'Farley Granger', 'Dick Hogan']",146642,146642
Whisper of the Heart,1995,7.9,Yoshifumi Kondô,"['Yoko Honna', 'Issey Takahashi', 'Takashi Tachibana', 'Shigeru Muroi']",65424,65424
Notorious,1946,7.9,Alfred Hitchcock,"['Cary Grant', 'Ingrid Bergman', 'Claude Rains', 'Louis Calhern']",102993,10460000
Mildred Pierce,1945,7.9,Michael Curtiz,"['Joan Crawford', 'Jack Carson', 'Zachary Scott', 'Eve Arden']",26866,26866
Talk to Her,2002,7.9,Pedro Almodóvar,"['Rosario Flores', 'Javier Cámara', 'Darío Grandinetti', 'Leonor Watling']",114324,9280000
Short Term 12,2013,7.9,Destin Daniel Cretton,"['Brie Larson', 'Frantz Turner', 'John Gallagher Jr.', 'Kaitlyn Dever']",89159,1010000
Laura,1944,7.9,Otto Preminger,"['Gene Tierney', 'Dana Andrews', 'Clifton Webb', 'Vincent Price']",48691,4360000
Once Were Warriors,1994,7.9,Lee Tamahori,"['Rena Owen', 'Temuera Morrison', 'Mamaengaroa Kerr-Bell', 'Julian Arahanga']",35180,2200000
The Conformist,1970,7.9,Bernardo Bertolucci,"['Jean-Louis Trintignant', 'Stefania Sandrelli', 'Gastone Moschin', 'Enzo Tarascio']",31648,540000
Strangers on a Train,1951,7.9,Alfred Hitchcock,"['Farley Granger', 'Robert Walker', 'Ruth Roman', 'Leo G. Carroll']",135969,7630000
The Killing,1956,7.9,Stanley Kubrick,"['Sterling Hayden', 'Coleen Gray', 'Vince Edwards', 'Jay C. Flippen']",91789,91789
A Taxi Driver,2017,7.9,Hun Jang,"['Song Kang-ho', 'Thomas Kretschmann', 'Hae-Jin Yoo', 'Ryu Jun-Yeol']",26513,1530000
Kal Ho Naa Ho,2003,7.9,Nikkhil Advani,"['Preity G Zinta', 'Shah Rukh Khan', 'Saif Ali Khan', 'Jaya Bachchan']",71338,1790000
My Name Is Khan,2010,7.9,Karan Johar,"['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie Amanda Keane']",110088,4020000
Gully Boy,2019,7.9,Zoya Akhtar,"['Ranveer Singh', 'Alia Bhatt', 'Siddhant Chaturvedi', 'Vijay Raaz']",40927,5570000
Jab We Met,2007,7.9,Imtiaz Ali,"['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh Randhawa']",55021,410000
Arsenic and Old Lace,1944,7.9,Frank Capra,"['Cary Grant', 'Priscilla Lane', 'Raymond Massey', 'Jack Carson']",72281,72281
Head-On,2004,7.9,Fatih Akin,"['Birol Ünel', 'Sibel Kekilli', 'Güven Kiraç', 'Zarah Jane McKenzie']",55495,55495
3-Iron,2004,7.9,Kim Ki-duk,"['Seung-Yun Lee', 'Hee Jae', 'Hyuk-ho Kwon', 'Jin-mo Joo']",56231,240000
I Remember,1973,7.9,Federico Fellini,"['Magali Noël', 'Bruno Zanin', 'Pupella Maggio', 'Armando Brancia']",44687,580000
The Thin Man,1934,7.9,W.S. Van Dyke,"['William Powell', 'Myrna Loy', ""Maureen O'Sullivan"", 'Nat Pendleton']",30980,30980
The Big Heat,1953,7.9,Fritz Lang,"['Glenn Ford', 'Gloria Grahame', 'Jocelyn Brando', 'Alexander Scourby']",27480,27480
The Sacrifice,1986,7.9,Andrei Tarkovsky,"['Erland Josephson', 'Susan Fleetwood', 'Allan Edwall', 'Guðrún Gísladóttir']",29231,300000
Kagemusha,1980,7.9,Akira Kurosawa,"['Tatsuya Nakadai', 'Tsutomu Yamazaki', ""Ken'ichi Hagiwara"", 'Jinpachi Nezu']",36508,36508
The Rules of the Game,1939,7.9,Jean Renoir,"['Marcel Dalio', 'Nora Gregor', 'Paulette Dubost', 'Mila Parély']",29907,29907
The Lost Weekend,1945,7.9,Billy Wilder,"['Ray Milland', 'Jane Wyman', 'Phillip Terry', 'Howard Da Silva']",38223,9460000
Hiroshima Mon Amour,1959,7.9,Alain Resnais,"['Emmanuelle Riva', 'Eiji Okada', 'Stella Dassas', 'Pierre Barbaud']",33564,90000
Miracle on 34th Street,1947,7.9,George Seaton,"['Edmund Gwenn', ""Maureen O'Hara"", 'John Payne', 'Gene Lockhart']",51005,2650000
In a Lonely Place,1950,7.9,Nicholas Ray,"['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy', 'Carl Benton Reid']",32706,32706
Nine Queens,2000,7.9,Fabián Bielinsky,"['Ricardo Darín', 'Gastón Pauls', 'Graciela Tenenbaum', 'María Mercedes Villagra']",54315,1220000
Battleship Potemkin,1925,7.9,Sergei Eisenstein,"['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov']",59075,50000
No Man's Land,I) (2001,7.9,Danis Tanovic,"['Branko Djuric', 'Rene Bitorajac', 'Filip Sovagovic', 'Georges Siatidis']",47740,1060000
Elevator to the Gallows,1958,7.9,Louis Malle,"['Jeanne Moreau', 'Maurice Ronet', 'Georges Poujouly', 'Yori Bertin']",26733,110000
Le Cercle Rouge,1970,7.9,Jean-Pierre Melville,"['Alain Delon', 'Bourvil', 'Gian Maria Volontè', 'Yves Montand']",26293,370000
The Way He Looks,2014,7.9,Daniel Ribeiro,"['Ghilherme Lobo', 'Fabio Audi', 'Tess Amorim', 'Lúcia Romano']",26192,100000
"4 Months, 3 Weeks and 2 Days",2007,7.9,Cristian Mungiu,"['Anamaria Marinca', 'Laura Vasiliu', 'Vlad Ivanov', 'Alexandru Potocean']",61408,1190000
Super 30,2019,7.9,Vikas Bahl,"['Hrithik Roshan', 'Mrunal Thakur', 'Nandish Singh Sandhu', 'Veerendra Saxena']",33455,2270000
Beauty and the Beast,1946,7.9,Jean Cocteau,"['René Clément', 'Jean Marais', 'Josette Day', 'Mila Parély', 'Nane Germon']",27026,300000
M.S. Dhoni: The Untold Story,2016,7.9,Mathur Goswami,"['Neeraj Pandey', 'Sushant Singh Rajput', 'Kiara Advani', 'Anupam Kher', 'Disha Patani']",61762,1780000
About Elly,2009,7.9,Asghar Farhadi,"['Golshifteh Farahani', 'Shahab Hosseini', 'Taraneh Alidoosti', 'Sajjad Dolati']",54581,110000
Badhaai Ho,2018,7.9,Amit Ravindernath Sharma,"['Ayushmann Khurrana', 'Neena Gupta', 'Gajraj Rao', 'Sanya Malhotra']",35713,35713
Sullivan's Travels,1941,7.9,Preston Sturges,"['Joel McCrea', 'Veronica Lake', 'Robert Warwick', 'William Demarest']",27153,27153
C.R.A.Z.Y.,2005,7.9,Jean-Marc Vallée,"['Michel Côté', 'Marc-André Grondin', 'Danielle Proulx', 'Émile Vallée']",33358,33358
The Return,2003,7.9,Andrey Zvyagintsev,"['Vladimir Garin', 'Ivan Dobronravov', 'Konstantin Lavronenko', 'Nataliya Vdovina']",46195,500000
Pad Man,2018,7.9,R. Balki,"['Akshay Kumar', 'Radhika Apte', 'Sonam Kapoor', 'Jyoti Subhash']",27018,1660000
Dev.D,2009,7.9,Anurag Kashyap,"['Abhay Deol', 'Mahie Gill', 'Kalki Koechlin', 'Dibyendu Bhattacharya']",31219,10000
Baby,I) (2015,7.9,Neeraj Pandey,"['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati', 'Taapsee Pannu']",58589,58589
Airlift,2016,7.9,Raja Menon,"['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra', 'Prakash Belawadi']",57663,57663
The Whale,2022,7.8,Darren Aronofsky,"['Brendan Fraser', 'Sadie Sink', 'Ty Simpkins', 'Hong Chau']",102782,102782
All Quiet on the Western Front,2022,7.8,Edward Berger,"['Felix Kammerer', 'Albrecht Schuch', 'Aaron Hilmer', 'Moritz Klaus']",177686,177686
Avatar: The Way of Water,2022,7.8,James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang']",320114,659680000
The Batman,2022,7.8,Matt Reeves,"['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright', 'Colin Farrell']",684168,369350000
The Gentlemen,2019,7.8,Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']",353367,36470000
The Big Short,2015,7.8,Adam McKay,"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt']",441605,70260000
Little Women,2019,7.8,Greta Gerwig,"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen']",214622,108100000
The Breakfast Club,1985,7.8,John Hughes,"['Emilio Estevez', 'Judd Nelson', 'Molly Ringwald', 'Ally Sheedy']",408483,45880000
Pride & Prejudice,2005,7.8,Joe Wright,"['Keira Knightley', 'Matthew Macfadyen', 'Brenda Blethyn', 'Donald Sutherland']",304269,38410000
Call Me by Your Name,2017,7.8,Luca Guadagnino,"['Timothée Chalamet', 'Armie Hammer', 'Michael Stuhlbarg', 'Amira Casar']",283398,18100000
Rogue One: A Star Wars Story,2016,7.8,Gareth Edwards,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen']",650697,532180000
Hidden Figures,2016,7.8,Theodore Melfi,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe', 'Kevin Costner']",237452,169610000
Dunkirk,2017,7.8,Christopher Nolan,"['Fionn Whitehead', 'Barry Keoghan', 'Mark Rylance', 'Tom Hardy']",674252,188370000
Tombstone,1993,7.8,George P. Cosmatos,"['Kevin Jarre', 'Kurt Russell', 'Val Kilmer', 'Sam Elliott', 'Bill Paxton']",153746,56510000
The Hateful Eight,2015,7.8,Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins']",615853,54120000
Drive,I) (2011,7.8,Nicolas Winding Refn,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston', 'Albert Brooks']",655943,35060000
The Irishman,2019,7.8,Martin Scorsese,"['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel']",398315,7000000
The Hobbit: An Unexpected Journey,2012,7.8,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Andy Serkis']",838651,303000000
The Notebook,2004,7.8,Nick Cassavetes,"['Gena Rowlands', 'James Garner', 'Rachel McAdams', 'Ryan Gosling']",583141,81000000
Remember the Titans,2000,7.8,Boaz Yakin,"['Denzel Washington', 'Will Patton', 'Wood Harris', 'Ryan Hurst']",220243,115650000
The Fugitive,1993,7.8,Andrew Davis,"['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward', 'Julianne Moore']",301530,183880000
The Social Network,2010,7.8,David Fincher,"['Jesse Eisenberg', 'Andrew Garfield', 'Justin Timberlake', 'Rooney Mara']",716150,96960000
Cast Away,2000,7.8,Robert Zemeckis,"['Tom Hanks', 'Helen Hunt', 'Paul Sanchez', 'Lari White']",603492,233630000
Ghostbusters,1984,7.8,Ivan Reitman,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis']",422568,238630000
Mary Poppins,1964,7.8,Robert Stevenson,"['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson', 'Glynis Johns']",176949,102270000
About Time,I) (2013,7.8,Richard Curtis,"['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy', 'Lydia Wilson']",360479,15320000
The Curious Case of Benjamin Button,2008,7.8,David Fincher,"['Brad Pitt', 'Cate Blanchett', 'Tilda Swinton', 'Julia Ormond']",662168,127510000
Ferris Bueller's Day Off,1986,7.8,John Hughes,"['Matthew Broderick', 'Alan Ruck', 'Mia Sara', 'Jeffrey Jones']",365966,70140000
The Worst Person in the World,2021,7.8,Joachim Trier,"['Renate Reinsve', 'Anders Danielsen Lie', 'Herbert Nordrum', 'Hans Olav Brenner']",76374,76374
Star Wars: Episode VII - The Force Awakens,2015,7.8,J.J. Abrams,"['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson']",940828,936660000
Apocalypto,2006,7.8,Mel Gibson,"['Gerardo Taracena', 'Raoul Max Trujillo', 'Dalia Hernández', 'Rudy Youngblood']",317930,50870000
Little Miss Sunshine,2006,7.8,Jonathan Dayton,"['Valerie Faris', 'Steve Carell', 'Toni Collette', 'Greg Kinnear', 'Abigail Breslin']",490735,59890000
American Gangster,2007,7.8,Ridley Scott,"['Denzel Washington', 'Russell Crowe', 'Chiwetel Ejiofor', 'Josh Brolin']",433064,130160000
Manchester by the Sea,2016,7.8,Kenneth Lonergan,"['Casey Affleck', 'Michelle Williams', 'Kyle Chandler', 'Lucas Hedges']",290234,47700000
Gattaca,1997,7.8,Andrew Niccol,"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Gore Vidal']",309790,12340000
Midnight Cowboy,1969,7.8,John Schlesinger,"['Dustin Hoffman', 'Jon Voight', 'Sylvia Miles', 'John McGiver']",113919,44790000
Misery,1990,7.8,Rob Reiner,"['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen']",218373,61280000
Predator,1987,7.8,John McTiernan,"['Arnold Schwarzenegger', 'Carl Weathers', 'Kevin Peter Hall', 'Elpidia Carrillo']",430821,59740000
The Asphalt Jungle,1950,7.8,John Huston,"['Sterling Hayden', 'Louis Calhern', 'Jean Hagen', 'James Whitmore']",28230,28230
Atonement,2007,7.8,Joe Wright,"['Keira Knightley', 'James McAvoy', 'Brenda Blethyn', 'Saoirse Ronan']",284818,50930000
Nightcrawler,2014,7.8,Dan Gilroy,"['Jake Gyllenhaal', 'Rene Russo', 'Bill Paxton', 'Riz Ahmed']",561839,32380000
The Untouchables,1987,7.8,Brian De Palma,"['Kevin Costner', 'Sean Connery', 'Robert De Niro', 'Charles Martin Smith']",316006,76270000
The Girl with the Dragon Tattoo,2011,7.8,David Fincher,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Stellan Skarsgård']",470793,102520000
Thirteen Lives,2022,7.8,Ron Howard,"['Viggo Mortensen', 'Colin Farrell', 'Joel Edgerton', 'Tom Bateman']",58552,58552
Captain America: Civil War,2016,7.8,Anthony Russo,"['Joe Russo', 'Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']",802348,408080000
My Fair Lady,1964,7.8,George Cukor,"['Audrey Hepburn', 'Rex Harrison', 'Stanley Holloway', 'Wilfrid Hyde-White']",97671,72000000
Skyfall,2012,7.8,Sam Mendes,"['Daniel Craig', 'Javier Bardem', 'Naomie Harris', 'Judi Dench']",705556,304360000
Hot Fuzz,2007,7.8,Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Martin Freeman', 'Bill Nighy']",513132,23640000
Willy Wonka & the Chocolate Factory,1971,7.8,Mel Stuart,"['Gene Wilder', 'Jack Albertson', 'Peter Ostrum', 'Roy Kinnear']",207101,4000000
Boyz n the Hood,1991,7.8,John Singleton,"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Hudhail Al-Amir', 'Lloyd Avery II']",144618,57500000
Taken,I) (2008,7.8,Pierre Morel,"['Liam Neeson', 'Maggie Grace', 'Famke Janssen', 'Leland Orser']",610839,145000000
Moon,2009,7.8,Duncan Jones,"['Sam Rockwell', 'Kevin Spacey', 'Dominique McElligott', 'Rosie Shaw']",364472,5010000
The Hobbit: The Desolation of Smaug,2013,7.8,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Ken Stott']",673920,258370000
Big Hero 6,2014,7.8,Don Hall,"['Chris Williams', 'Ryan Potter', 'Scott Adsit', 'Jamie Chung', 'T.J. Miller']",470876,222530000
Paddington 2,2017,7.8,Paul King,"['Ben Whishaw', 'Hugh Grant', 'Hugh Bonneville', 'Sally Hawkins']",83180,40440000
The Sandlot,1993,7.8,David Mickey Evans,"['Tom Guiry', 'Mike Vitar', 'Art LaFleur', 'Patrick Renna']",95178,32420000
Captain America: The Winter Soldier,2014,7.8,Anthony Russo,"['Joe Russo', 'Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson', 'Robert Redford']",858512,259770000
The Fighter,I) (2010,7.8,David O. Russell,"['Mark Wahlberg', 'Christian Bale', 'Amy Adams', 'Melissa Leo']",374485,93620000
I Saw the Devil,2010,7.8,Jee-woon Kim,"['Lee Byung-hun', 'Choi Min-sik', 'Jeon Gook-hwan', 'Ho-jin Chun']",135076,130000
Captain Fantastic,2016,7.8,Matt Ross,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']",223334,5880000
The Last Samurai,2003,7.8,Edward Zwick,"['Tom Cruise', 'Ken Watanabe', 'Billy Connolly', 'William Atherton']",448618,111110000
Mr. Nobody,2009,7.8,Jaco Van Dormael,"['Jared Leto', 'Sarah Polley', 'Diane Kruger', 'Linh-Dan Pham']",237438,0
Walk the Line,2005,7.8,James Mangold,"['Joaquin Phoenix', 'Reese Witherspoon', 'Ginnifer Goodwin', 'Robert Patrick']",255554,119520000
Awakenings,1990,7.8,Penny Marshall,"['Robert De Niro', 'Robin Williams', 'Julie Kavner', 'Ruth Nelson']",146714,52100000
Captain Phillips,2013,7.8,Paul Greengrass,"['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman', 'Catherine Keener']",469067,107100000
Back to the Future Part II,1989,7.8,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Tom Wilson']",542783,118500000
Straight Outta Compton,2015,7.8,F. Gary Gray,"[""O'Shea Jackson Jr."", 'Corey Hawkins', 'Jason Mitchell', 'Neil Brown Jr.']",206990,161200000
Glory,1989,7.8,Edward Zwick,"['Matthew Broderick', 'Denzel Washington', 'Cary Elwes', 'Morgan Freeman']",137730,26830000
The Holy Mountain,1973,7.8,Alejandro Jodorowsky,"['Alejandro Jodorowsky', 'Horacio Salinas', 'Zamira Saunders', 'Juan Ferrara']",44725,60000
Serenity,2005,7.8,Joss Whedon,"['Nathan Fillion', 'Gina Torres', 'Chiwetel Ejiofor', 'Alan Tudyk']",298969,25510000
A Bronx Tale,1993,7.8,Robert De Niro,"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato', 'Francis Capra']",146451,17270000
Being John Malkovich,1999,7.8,Spike Jonze,"['John Cusack', 'Cameron Diaz', 'Catherine Keener', 'John Malkovich']",341353,22860000
The Remains of the Day,1993,7.8,James Ivory,"['Anthony Hopkins', 'Emma Thompson', 'John Haycraft', 'Christopher Reeve']",77179,22950000
Cabaret,1972,7.8,Bob Fosse,"['Liza Minnelli', 'Michael York', 'Helmut Griem', 'Joel Grey']",56609,42770000
My Left Foot,1989,7.8,Jim Sheridan,"['Daniel Day-Lewis', 'Brenda Fricker', 'Alison Whelan', 'Kirsten Sheridan']",76152,14740000
Hunt for the Wilderpeople,2016,7.8,Taika Waititi,"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']",133822,5200000
Moonrise Kingdom,2012,7.8,Wes Anderson,"['Jared Gilman', 'Kara Hayward', 'Bruce Willis', 'Bill Murray']",354746,45510000
The Fall,I) (2006,7.8,Tarsem Singh,"['Lee Pace', 'Catinca Untaru', 'Justine Waddell', 'Kim Uylenbroek']",113794,2280000
Kramer vs. Kramer,1979,7.8,Robert Benton,"['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander', 'Justin Henry']",148317,106260000
The Umbrellas of Cherbourg,1964,7.8,Jacques Demy,"['Catherine Deneuve', 'Nino Castelnuovo', 'Anne Vernon', 'Marc Michel']",28776,30000
Isle of Dogs,2018,7.8,Wes Anderson,"['Bryan Cranston', 'Koyu Rankin', 'Edward Norton', 'Bob Balaban']",174295,32020000
The Girl with the Dragon Tattoo,2009,7.8,Niels Arden Oplev,"['Michael Nyqvist', 'Noomi Rapace', 'Ewa Fröling', 'Lena Endre']",218855,10100000
The Conversation,1974,7.8,Francis Ford Coppola,"['Gene Hackman', 'John Cazale', 'Allen Garfield', 'Frederic Forrest']",114698,4420000
How to Train Your Dragon 2,2014,7.8,Dean DeBlois,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson']",343534,177000000
Once,I) (2007,7.8,John Carney,"['Glen Hansard', 'Markéta Irglová', 'Hugh Walsh', 'Gerard Hendrick']",118215,9440000
Mississippi Burning,1988,7.8,Alan Parker,"['Gene Hackman', 'Willem Dafoe', 'Frances McDormand', 'Brad Dourif']",103421,34600000
The Best Offer,2013,7.8,Giuseppe Tornatore,"['Geoffrey Rush', 'Jim Sturgess', 'Sylvia Hoeks', 'Donald Sutherland']",122162,90000
October Sky,1999,7.8,Joe Johnston,"['Jake Gyllenhaal', 'Chris Cooper', 'Laura Dern', 'Chris Owen']",93640,32480000
Kiki's Delivery Service,1989,7.8,Hayao Miyazaki,"['Kirsten Dunst', 'Minami Takayama', 'Rei Sakuma', 'Kappei Yamaguchi']",149406,149406
The King of Comedy,1982,7.8,Martin Scorsese,"['Robert De Niro', 'Jerry Lewis', 'Diahnne Abbott', 'Sandra Bernhard']",107806,2500000
The Insider,1999,7.8,Michael Mann,"['Russell Crowe', 'Al Pacino', 'Christopher Plummer', 'Diane Venora']",173784,28970000
The Man Who Would Be King,1975,7.8,John Huston,"['Sean Connery', 'Michael Caine', 'Christopher Plummer', 'Saeed Jaffrey']",50157,50157
The Killing Fields,1984,7.8,Roland Joffé,"['Sam Waterston', 'Haing S. Ngor', 'John Malkovich', 'Julian Sands']",56758,34700000
All About My Mother,1999,7.8,Pedro Almodóvar,"['Cecilia Roth', 'Marisa Paredes', 'Candela Peña', 'Antonia San Juan']",98915,8260000
Guess Who's Coming to Dinner,1967,7.8,Stanley Kramer,"['Spencer Tracy', 'Sidney Poitier', 'Katharine Hepburn', 'Katharine Houghton']",46530,56700000
The Outlaw Josey Wales,1976,7.8,Clint Eastwood,"['Clint Eastwood', 'Sondra Locke', 'Chief Dan George', 'Bill McKinney']",75718,31800000
Dawn of the Dead,1978,7.8,George A. Romero,"['David Emge', 'Ken Foree', 'Scott H. Reiniger', 'Gaylen Ross']",123415,5100000
Changeling,2008,7.8,Clint Eastwood,"['Angelina Jolie', 'Colm Feore', 'Amy Ryan', 'Gattlin Griffith']",258679,35740000
The Right Stuff,1983,7.8,Philip Kaufman,"['Sam Shepard', 'Scott Glenn', 'Ed Harris', 'Dennis Quaid']",62613,21500000
Night of the Living Dead,1968,7.8,George A. Romero,"['Duane Jones', ""Judith O'Dea"", 'Karl Hardman', 'Marilyn Eastman']",132279,90000
Days of Heaven,1978,7.8,Terrence Malick,"['Richard Gere', 'Brooke Adams', 'Sam Shepard', 'Linda Manz']",59578,59578
All That Jazz,1979,7.8,Bob Fosse,"['Roy Scheider', 'Jessica Lange', 'Ann Reinking', 'Leland Palmer']",33059,37820000
Stagecoach,1939,7.8,John Ford,"['John Wayne', 'Claire Trevor', 'Andy Devine', 'John Carradine']",50744,50744
Ed Wood,1994,7.8,Tim Burton,"['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker', 'Patricia Arquette']",178815,5890000
Loving Vincent,2017,7.8,Dorota Kobiela,"['Hugh Welchman', 'Douglas Booth', 'Jerome Flynn', 'Robert Gulaczyk', 'Helen McCrory']",59693,6740000
East of Eden,1955,7.8,Elia Kazan,"['James Dean', 'Raymond Massey', 'Julie Harris', 'Burl Ives']",46622,46622
Gaslight,1944,7.8,George Cukor,"['Charles Boyer', 'Ingrid Bergman', 'Joseph Cotten', 'May Whitty']",30698,30698
Pride,I) (2014,7.8,Matthew Warchus,"['Bill Nighy', 'Imelda Staunton', 'Dominic West', 'Paddy Considine']",58874,58874
The Day the Earth Stood Still,1951,7.8,Robert Wise,"['Michael Rennie', 'Patricia Neal', 'Hugh Marlowe', 'Sam Jaffe']",83225,83225
The World's Fastest Indian,2005,7.8,Roger Donaldson,"['Anthony Hopkins', 'Diane Ladd', 'Iain Rea', 'Tessa Mitchell']",56101,5130000
Mother,2009,7.8,Bong Joon Ho,"['Hye-ja Kim', 'Won Bin', 'Jin Goo', 'Je-mun Yun']",66700,550000
Breaking the Waves,1996,7.8,Lars von Trier,"['Emily Watson', 'Stellan Skarsgård', 'Katrin Cartlidge', 'Jean-Marc Barr']",68650,4040000
Freaks,1932,7.8,Tod Browning,"['Wallace Ford', 'Leila Hyams', 'Olga Baclanova', 'Roscoe Ates']",47903,630000
The Chaser,2008,7.8,Na Hong-jin,"['Kim Yoon-seok', 'Ha Jung-woo', 'Yeong-hie Seo', 'Kim Yoo-jeong']",68435,68435
Duck Soup,1933,7.8,Leo McCarey,"['Groucho Marx', 'Harpo Marx', 'Chico Marx', 'Zeppo Marx']",61036,61036
Frankenstein,1931,7.8,James Whale,"['Colin Clive', 'Mae Clarke', 'Boris Karloff', 'John Boles']",75044,75044
Hannah and Her Sisters,1986,7.8,Woody Allen,"['Mia Farrow', 'Dianne Wiest', 'Michael Caine', 'Barbara Hershey']",72914,40080000
His Girl Friday,1940,7.8,Howard Hawks,"['Cary Grant', 'Rosalind Russell', 'Ralph Bellamy', 'Gene Lockhart']",60365,300000
Lilya 4-Ever,2002,7.8,Lukas Moodysson,"['Oksana Akinshina', 'Artyom Bogucharskiy', 'Pavel Ponomaryov', 'Lyubov Agapova']",46807,180000
Manhattan,1979,7.8,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Mariel Hemingway', 'Michael Murphy']",142235,45700000
You Can't Take It with You,1938,7.8,Frank Capra,"['Jean Arthur', 'James Stewart', 'Lionel Barrymore', 'Edward Arnold']",26590,4660000
The Day of the Jackal,1973,7.8,Fred Zinnemann,"['Edward Fox', 'Terence Alexander', 'Michel Auclair', 'Alan Badel']",42116,16060000
Bringing Up Baby,1938,7.8,Howard Hawks,"['Katharine Hepburn', 'Cary Grant', 'Charles Ruggles', 'Walter Catlett']",63132,63132
Red River,1948,7.8,Howard Hawks,"['Arthur Rosson', 'John Wayne', 'Montgomery Clift', 'Joanne Dru', 'Walter Brennan']",32298,32298
Shadow of a Doubt,1943,7.8,Alfred Hitchcock,"['Teresa Wright', 'Joseph Cotten', 'Macdonald Carey', 'Henry Travers']",67158,67158
