Title,Year,Rating,Director,Stars,Votes,Gross
Your Name.,2016,8.4,Makoto Shinkai,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yûki']",278335,#82
Hamilton,2020,8.4,Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']",98969,#107
Amadeus,1984,8.4,Milos Forman,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']",406570,#72
WALL·E,2008,8.4,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']",1131407,#57
3 Idiots,2009,8.4,Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Kareena Kapoor']",406884,#84
The Lives of Others,2006,8.4,Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']",393935,#58
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']",496635,#68
Capernaum,2018,8.4,Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad']",93219,#88
Das Boot,1981,8.4,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch']",253880,#77
Sunset Blvd.,1950,8.4,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']",225045,#59
Paths of Glory,1957,8.4,Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']",200535,#60
Witness for the Prosecution,1957,8.4,Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']",127934,#64
The Great Dictator,1940,8.4,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']",226952,#62
High and Low,1963,8.4,Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa']",46901,#86
Sardar Udham,2021,8.4,Shoojit Sircar,"['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']",43603,43603
Asuran,2019,8.4,Vetrimaaran,"['Dhanush', 'Manju Warrier', 'Prakash Raj', 'Pasupathy']",30716,30716
Drishyam 2,2021,8.4,Jeethu Joseph,"['Mohanlal', 'Meena', 'Ansiba', 'Esther Anil']",38635,38635
Top Gun: Maverick,2022,8.3,Joseph Kosinski,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']",552229,#118
Good Will Hunting,1997,8.3,Gus Van Sant,"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']",990476,#81
The Sting,1973,8.3,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']",267403,#112
Inglourious Basterds,2009,8.3,Quentin Tarantino,"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']",1474351,#71
Requiem for a Dream,2000,8.3,Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']",854159,#85
Heat,1995,8.3,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",666404,#109
Eternal Sunshine of the Spotless Mind,2004,8.3,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']",1022177,#90
2001: A Space Odyssey,1968,8.3,Stanley Kubrick,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']",678673,#91
A Clockwork Orange,1971,8.3,Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']",840624,#103
Scarface,1983,8.3,Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']",855799,#106
Reservoir Dogs,1992,8.3,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']",1033144,#93
Once Upon a Time in America,1984,8.3,Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']",357094,#80
The Hunt,2012,8.3,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']",337098,#94
Full Metal Jacket,1987,8.3,Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin']",752070,#105
Toy Story,1995,8.3,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",1007711,#74
Star Wars: Episode VI - Return of the Jedi,1983,8.3,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",1067078,#89
Lawrence of Arabia,1962,8.3,David Lean,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']",298510,#97
Up,2009,8.3,Pete Docter,"['Bob Peterson', 'Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']",1058494,#111
Amélie,2001,8.3,Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta']",764743,#102
